                 line1                  |       district       |            city            |                country                
 1447 Imus Way                          | Tahiti               | Faaa                       | French Polynesia
 1998 Halifax Drive                     | Lipetsk              | Lipetsk                    | Russian Federation
 1718 Valencia Street                   | Antofagasta          | Antofagasta                | Chile
 46 Pjatigorsk Lane                     | Moscow (City)        | Moscow                     | Russian Federation
 686 Garland Manor                      | Cear                 | Juazeiro do Norte          | Brazil
 909 Garland Manor                      | Tatarstan            | Niznekamsk                 | Russian Federation
 725 Isesaki Place                      | Mekka                | Jedda                      | Saudi Arabia
 115 Hidalgo Parkway                    | Khartum              | Omdurman                   | Sudan
 1135 Izumisano Parkway                 | California           | Fontana                    | Murica
 939 Probolinggo Loop                   | Galicia              | A Corua (La Corua)         | Spain
 17 Kabul Boulevard                     | Chiba                | Nagareyama                 | Japan
 1964 Allappuzha (Alleppey) Street      | Yamaguchi            | Iwakuni                    | Japan
 1697 Kowloon and New Kowloon Loop      | Moskova              | Balaiha                    | Russian Federation
 1668 Saint Louis Place                 | Tahiti               | Papeete                    | French Polynesia
 943 Tokat Street                       | Vaduz                | Vaduz                      | Liechtenstein
 1114 Liepaja Street                    | Sarawak              | Kuching                    | Malaysia
 1213 Ranchi Parkway                    | Karnataka            | Mysore                     | India
 81 Hodeida Way                         | Rajasthan            | Jaipur                     | India
 915 Ponce Place                        | Basel-Stadt          | Basel                      | Switzerland
 1717 Guadalajara Lane                  | Missouri             | Saint Louis                | Murica
 1214 Hanoi Way                         | Nebraska             | Lincoln                    | Murica
 1966 Amroha Avenue                     | Sichuan              | Daxian                     | China
 698 Otsu Street                        | Cayenne              | Cayenne                    | French Guiana
 1150 Kimchon Manor                     | Skne ln              | Malm                       | Sweden
 1586 Guaruj Place                      | Hunan                | Xiangtan                   | China
 57 Arlington Manor                     | Madhya Pradesh       | Shivapuri                  | India
 1031 Daugavpils Parkway                | Bchar                | Bchar                      | Algeria
 1124 Buenaventura Drive                | Mekka                | al-Hawiya                  | Saudi Arabia
 492 Cam Ranh Street                    | Eastern Visayas      | Baybay                     | Philippines
 89 Allappuzha (Alleppey) Manor         | National Capital Reg | Taguig                     | Philippines
 1947 Poos de Caldas Boulevard          | Chiayi               | Chiayi                     | Taiwan
 1206 Dos Quebradas Place               | So Paulo             | Rio Claro                  | Brazil
 1551 Rampur Lane                       | Changhwa             | Changhwa                   | Taiwan
 602 Paarl Street                       | Pavlodar             | Pavlodar                   | Kazakstan
 1692 Ede Loop                          | So Paulo             | Araatuba                   | Brazil
 936 Salzburg Lane                      | Uttar Pradesh        | Rae Bareli                 | India
 586 Tete Way                           | Kanagawa             | Kamakura                   | Japan
 1888 Kabul Drive                       | Oyo & Osun           | Ife                        | Nigeria
 320 Baiyin Parkway                     | Mahajanga            | Mahajanga                  | Madagascar
 927 Baha Blanca Parkway                | Krim                 | Simferopol                 | Ukraine
 929 Tallahassee Loop                   | Gauteng              | Springs                    | South Africa
 125 Citt del Vaticano Boulevard        | Puebla               | Atlixco                    | Mexico
 1557 Ktahya Boulevard                  | England              | Bradford                   | United Kingdom
 870 Ashqelon Loop                      | Songkhla             | Songkhla                   | Thailand
 1740 Portoviejo Avenue                 | Sucre                | Sincelejo                  | Colombia
 1942 Ciparay Parkway                   | Cheju                | Cheju                      | South Korea
 1926 El Alto Avenue                    | Buenos Aires         | La Plata                   | Argentina
 1952 Chatsworth Drive                  | Guangdong            | Meixian                    | China
 1370 Le Mans Avenue                    | Brunei and Muara     | Bandar Seri Begawan        | Brunei
 984 Effon-Alaiye Avenue                | Gois                 | Goinia                     | Brazil
 832 Nakhon Sawan Manor                 | Inner Mongolia       | Zalantun                   | China
 152 Kitwe Parkway                      | Caraga               | Bislig                     | Philippines
 1697 Tanauan Lane                      | Punjab               | Pathankot                  | India
 1308 Arecibo Way                       | Georgia              | Augusta-Richmond County    | Murica
 1599 Plock Drive                       | Tete                 | Tete                       | Mozambique
 669 Firozabad Loop                     | Abu Dhabi            | al-Ayn                     | United Arab Emirates
 588 Vila Velha Manor                   | Kyongsangbuk         | Kimchon                    | South Korea
 1913 Kamakura Place                    | Lipetsk              | Jelets                     | Russian Federation
 733 Mandaluyong Place                  | Asir                 | Abha                       | Saudi Arabia
 659 Vaduz Drive                        | Ha Darom             | Ashdod                     | Israel
 1177 Jelets Way                        | Kwara & Kogi         | Ilorin                     | Nigeria
 1386 Yangor Avenue                     | Provence-Alpes-Cte   | Toulon                     | France
 454 Nakhon Sawan Boulevard             | Funafuti             | Funafuti                   | Tuvalu
 1867 San Juan Bautista Tuxtepec Avenue | Ivanovo              | Ivanovo                    | Russian Federation
 1532 Dzerzinsk Way                     | Buenos Aires         | Merlo                      | Argentina
 1002 Ahmadnagar Manor                  | Mxico                | Huixquilucan               | Mexico
 682 Junan Way                          | North West           | Klerksdorp                 | South Africa
 804 Elista Drive                       | Hubei                | Enshi                      | China
 1378 Alvorada Avenue                   | Distrito Federal     | Caracas                    | Venezuela
 793 Cam Ranh Avenue                    | California           | Lancaster                  | Murica
 1079 Tel Aviv-Jaffa Boulevard          | Sucre                | Cuman                      | Venezuela
 442 Rae Bareli Place                   | Nordrhein-Westfalen  | Duisburg                   | Germany
 1107 Nakhon Sawan Avenue               | Mxico                | Nezahualcyotl              | Mexico
 544 Malm Parkway                       | Central Java         | Pemalang                   | Indonesia
 1967 Sincelejo Place                   | Gujarat              | Gandhinagar                | India
 333 Goinia Way                         | Texas                | Grand Prairie              | Murica
 1987 Coacalco de Berriozbal Loop       | al-Qalyubiya         | Shubra al-Khayma           | Egypt
 241 Mosul Lane                         | Risaralda            | Dos Quebradas              | Colombia
 211 Chiayi Drive                       | Uttar Pradesh        | Etawah                     | India
 1175 Tanauan Way                       | Lima                 | Lima                       | Peru
 117 Boa Vista Way                      | Uttar Pradesh        | Varanasi (Benares)         | India
 848 Tafuna Manor                       | Ktahya               | Ktahya                     | Turkey
 569 Baicheng Lane                      | Gauteng              | Boksburg                   | South Africa
 1666 Qomsheh Drive                     | So Paulo             | Po                         | Brazil
 801 Hagonoy Drive                      | Smolensk             | Smolensk                   | Russian Federation
 1050 Garden Grove Avenue               | Slaskie              | Jastrzebie-Zdrj            | Poland
 1854 Tieli Street                      | Shandong             | Liaocheng                  | China
 758 Junan Lane                         | Gois                 | guas Lindas de Gois        | Brazil
 1752 So Leopoldo Parkway               | Taka-Karpatia        | Mukateve                   | Ukraine
 898 Belm Manor                         | Free State           | Botshabelo                 | South Africa
 261 Saint Louis Way                    | Coahuila de Zaragoza | Torren                     | Mexico
 765 Southampton Drive                  | al-Qalyubiya         | Qalyub                     | Egypt
 943 Johannesburg Avenue                | Maharashtra          | Pune                       | India
 788 Atinsk Street                      | Karnataka            | Hubli-Dharwad              | India
 1749 Daxian Place                      | Gelderland           | Apeldoorn                  | Netherlands
 1587 Sullana Lane                      | Inner Mongolia       | Hohhot                     | China
 1029 Dzerzinsk Manor                   | Ynlin                | Touliu                     | Taiwan
 1666 Beni-Mellal Place                 | Tennessee            | Clarksville                | Murica
 928 Jaffna Loop                        | Hiroshima            | Fukuyama                   | Japan
 483 Ljubertsy Parkway                  | Scotland             | Dundee                     | United Kingdom
 374 Bat Yam Boulevard                  | Kilis                | Kilis                      | Turkey
 1027 Songkhla Manor                    | Minsk                | Molodetno                  | Belarus
 999 Sanaa Loop                         | Gauteng              | Soshanguve                 | South Africa
 879 Newcastle Way                      | Michigan             | Sterling Heights           | Murica
 1337 Lincoln Parkway                   | Saitama              | Urawa                      | Japan
 1952 Pune Lane                         | Saint-Denis          | Saint-Denis                | Runion
 782 Mosul Street                       | Massachusetts        | Brockton                   | Murica
 781 Shimonoseki Drive                  | Michoacn de Ocampo   | Hidalgo                    | Mexico
 1560 Jelets Boulevard                  | Shandong             | Laiwu                      | China
 1963 Moscow Place                      | Assam                | Nagaon                     | India
 456 Escobar Way                        | Jakarta Raya         | Jakarta                    | Indonesia
 798 Cianjur Avenue                     | Shanxi               | Yuncheng                   | China
 185 Novi Sad Place                     | Bern                 | Bern                       | Switzerland
 1367 Yantai Manor                      | Ondo & Ekiti         | Ondo                       | Nigeria
 369 Papeete Way                        | North Carolina       | Greensboro                 | Murica
 1440 Compton Place                     | North Austria        | Linz                       | Austria
 1623 Baha Blanca Manor                 | Moskova              | Ljubertsy                  | Russian Federation
 97 Shimoga Avenue                      | Tel Aviv             | Tel Aviv-Jaffa             | Israel
 1740 Le Mans Loop                      | Pays de la Loire     | Le Mans                    | France
 1287 Xiangfan Boulevard                | Gifu                 | Kakamigahara               | Japan
 842 Salzburg Lane                      | Adana                | Tarsus                     | Turkey
 154 Tallahassee Loop                   | Xinxiang             | Hami                       | China
 710 San Felipe del Progreso Avenue     | Lilongwe             | Lilongwe                   | Malawi
 1540 Wroclaw Drive                     | Maharashtra          | Chandrapur                 | India
 475 Atinsk Way                         | Gansu                | Jinchang                   | China
 1294 Firozabad Drive                   | Jiangxi              | Pingxiang                  | China
 1877 Ezhou Lane                        | Rajasthan            | Udaipur                    | India
 316 Uruapan Street                     | Perak                | Ipoh                       | Malaysia
 29 Pyongyang Loop                      | Batman               | Batman                     | Turkey
 1010 Klerksdorp Way                    | Steiermark           | Graz                       | Austria
 1848 Salala Boulevard                  | Miranda              | Ocumare del Tuy            | Venezuela
 431 Xiangtan Avenue                    | Kerala               | Allappuzha (Alleppey)      | India
 757 Rustenburg Avenue                  | Skikda               | Skikda                     | Algeria
 146 Johannesburg Way                   | Tamaulipas           | Matamoros                  | Mexico
 1891 Rizhao Boulevard                  | So Paulo             | Santa Brbara dOeste        | Brazil
 1089 Iwatsuki Avenue                   | Kirov                | Kirovo-Tepetsk             | Russian Federation
 1410 Benin City Parkway                | Risaralda            | Pereira                    | Colombia
 682 Garden Grove Place                 | Tennessee            | Memphis                    | Murica
 533 al-Ayn Boulevard                   | California           | Compton                    | Murica
 1839 Szkesfehrvr Parkway               | Gois                 | Luzinia                    | Brazil
 741 Ambattur Manor                     | Noord-Brabant        | s-Hertogenbosch            | Netherlands
 927 Barcelona Street                   | Chaharmahal va Bakht | Shahr-e Kord               | Iran
 435 0 Way                              | West Bengali         | Haldia                     | India
 140 Chiayi Parkway                     | Sumy                 | Sumy                       | Ukraine
 1166 Changhwa Street                   | Caraga               | Bayugan                    | Philippines
 891 Novi Sad Manor                     | Ontario              | Oshawa                     | Canada
 605 Rio Claro Parkway                  | Tabora               | Tabora                     | Tanzania
 1077 San Felipe de Puerto Plata Place  | Rostov-na-Donu       | Novoterkassk               | Russian Federation
 9 San Miguel de Tucumn Manor           | Uttar Pradesh        | Firozabad                  | India
 447 Surakarta Loop                     | Nyanza               | Kisumu                     | Kenya
 345 Oshawa Boulevard                   | Tokyo-to             | Hino                       | Japan
 1792 Valle de la Pascua Place          | Nordrhein-Westfalen  | Siegen                     | Germany
 1074 Binzhou Manor                     | Baden-Wrttemberg     | Mannheim                   | Germany
 817 Bradford Loop                      | Jiangsu              | Changzhou                  | China
 955 Bamenda Way                        | Ondo & Ekiti         | Ikerre                     | Nigeria
 1149 A Corua (La Corua) Boulevard      | Haiphong             | Haiphong                   | Vietnam
 387 Mwene-Ditu Drive                   | Ahal                 | Ashgabat                   | Turkmenistan
 68 Molodetno Manor                     | Nordrhein-Westfalen  | Witten                     | Germany
 642 Nador Drive                        | Maharashtra          | Bhusawal                   | India
 1688 Nador Lane                        | Sulawesi Utara       | Gorontalo                  | Indonesia
 1215 Pyongyang Parkway                 | Usak                 | Usak                       | Turkey
 1679 Antofagasta Street                | Alto Paran           | Ciudad del Este            | Paraguay
 1304 s-Hertogenbosch Way               | Santa Catarina       | Blumenau                   | Brazil
 850 Salala Loop                        | Kitaa                | Nuuk                       | Greenland
 624 Oshawa Boulevard                   | West Bengali         | Balurghat                  | India
 43 Dadu Avenue                         | Rajasthan            | Bhilwara                   | India
 751 Lima Loop                          | Aden                 | Aden                       | Yemen
 1333 Haldia Street                     | Jilin                | Fuyu                       | China
 660 Jedda Boulevard                    | Washington           | Bellevue                   | Murica
 1001 Miyakonojo Lane                   | Taizz                | Taizz                      | Yemen
 226 Brest Manor                        | California           | Sunnyvale                  | Murica
 1229 Valencia Parkway                  | Haskovo              | Stara Zagora               | Bulgaria
 1201 Qomsheh Manor                     | Gois                 | Aparecida de Goinia        | Brazil
 866 Shivapuri Manor                    | Uttar Pradesh        | Sambhal                    | India
 1168 Najafabad Parkway                 | Kabol                | Kabul                      | Afghanistan
 1244 Allappuzha (Alleppey) Place       | Buenos Aires         | Vicente Lpez               | Argentina
 1842 Luzinia Boulevard                 | Zanzibar West        | Zanzibar                   | Tanzania
 1926 Gingoog Street                    | Sisilia              | Syrakusa                   | Italy
 810 Palghat (Palakkad) Boulevard       | Jaroslavl            | Jaroslavl                  | Russian Federation
 1820 Maring Parkway                    | Punjab               | Mandi Bahauddin            | Pakistan
 60 Poos de Caldas Street               | Rajasthan            | Jodhpur                    | India
 1014 Loja Manor                        | Tamil Nadu           | Ambattur                   | India
 201 Effon-Alaiye Way                   | Asuncin              | Asuncin                    | Paraguay
 430 Alessandria Loop                   | Saarland             | Saarbrcken                 | Germany
 754 Valencia Place                     | Phnom Penh           | Phnom Penh                 | Cambodia
 356 Olomouc Manor                      | Gois                 | Anpolis                    | Brazil
 1256 Bislig Boulevard                  | Botosani             | Botosani                   | Romania
 954 Kimchon Place                      | West Bengali         | Uttarpara-Kotrung          | India
 885 Yingkou Manor                      | Kaduna               | Zaria                      | Nigeria
 1736 Cavite Place                      | Qina                 | Idfu                       | Egypt
 346 Skikda Parkway                     | Hawalli              | Jalib al-Shuyukh           | Kuwait
 98 Stara Zagora Boulevard              | Valle                | Buenaventura               | Colombia
 1479 Rustenburg Boulevard              | Southern Tagalog     | Tanza                      | Philippines
 647 A Corua (La Corua) Street          | Chollanam            | Naju                       | South Korea
 1964 Gijn Manor                        | Karnataka            | Shimoga                    | India
 47 Syktyvkar Lane                      | West Java            | Ciomas                     | Indonesia
 1148 Saarbrcken Parkway                | Fukushima            | Iwaki                      | Japan
 1103 Bilbays Parkway                   | Hubei                | Xiangfan                   | China
 1246 Boksburg Parkway                  | Hebei                | Qinhuangdao                | China
 1483 Pathankot Street                  | Tucumn               | San Miguel de Tucumn       | Argentina
 582 Papeete Loop                       | Central Visayas      | Lapu-Lapu                  | Philippines
 300 Junan Street                       | Kyonggi              | Uijongbu                   | South Korea
 829 Grand Prairie Way                  | Paran                | Maring                     | Brazil
 1473 Changhwa Parkway                  | Mxico                | Coacalco de Berriozbal     | Mexico
 1309 Weifang Street                    | Florida              | Tallahassee                | Murica
 1760 Oshawa Manor                      | Tianjin              | Tianjin                    | China
 786 Stara Zagora Way                   | Oyo & Osun           | Oyo                        | Nigeria
 1966 Tonghae Street                    | Anhalt Sachsen       | Halle/Saale                | Germany
 1497 Yuzhou Drive                      | England              | London                     | United Kingdom
 752 Ondo Loop                          | Miyazaki             | Miyakonojo                 | Japan
 1338 Zalantun Lane                     | Minas Gerais         | Poos de Caldas             | Brazil
 127 Iwakuni Boulevard                  | Central Luzon        | Hagonoy                    | Philippines
 51 Laredo Avenue                       | Sagaing              | Monywa                     | Myanmar
 771 Yaound Manor                       | Sofala               | Beira                      | Mozambique
 532 Toulon Street                      | Santiago             | Santiago de los Caballeros | Dominican Republic
 1027 Banjul Place                      | West Bengali         | Halisahar                  | India
 1158 Mandi Bahauddin Parkway           | Shanxi               | Datong                     | China
 862 Xintai Lane                        | Cagayan Valley       | Tuguegarao                 | Philippines
 816 Cayenne Parkway                    | Manab                | Portoviejo                 | Ecuador
 1831 Nam Dinh Loop                     | National Capital Reg | Mandaluyong                | Philippines
 446 Kirovo-Tepetsk Lane                | Osaka                | Higashiosaka               | Japan
 682 Halisahar Place                    | Severn Morava        | Olomouc                    | Czech Republic
 1587 Loja Manor                        | Salzburg             | Salzburg                   | Austria
 1762 Paarl Parkway                     | Hunan                | Lengshuijiang              | China
 1519 Ilorin Place                      | Kerala               | Palghat (Palakkad)         | India
 920 Kumbakonam Loop                    | California           | Salinas                    | Murica
 906 Goinia Way                         | Wielkopolskie        | Kalisz                     | Poland
 1675 Xiangfan Manor                    | Tamil Nadu           | Kumbakonam                 | India
 85 San Felipe de Puerto Plata Drive    | Shandong             | Yantai                     | China
 144 South Hill Loop                    | Guanajuato           | Salamanca                  | Mexico
 1884 Shikarpur Avenue                  | Haryana              | Karnal                     | India
 1980 Kamjanets-Podilskyi Street        | Illinois             | Peoria                     | Murica
 1944 Bamenda Way                       | Michigan             | Warren                     | Murica
 556 Baybay Manor                       | Oyo & Osun           | Ogbomosho                  | Nigeria
 457 Tongliao Loop                      | Bursa                | Inegl                      | Turkey
 600 Bradford Street                    | East Azerbaidzan     | Tabriz                     | Iran
 1006 Santa Brbara dOeste Manor         | Ondo & Ekiti         | Owo                        | Nigeria
 1308 Sumy Loop                         | Fujian               | Fuzhou                     | China
 1405 Chisinau Place                    | Ponce                | Ponce                      | Puerto Rico
 226 Halifax Street                     | Xinxiang             | Korla                      | China
 1279 Udine Parkway                     | Edo & Delta          | Benin City                 | Nigeria
 1336 Benin City Drive                  | Shiga                | Otsu                       | Japan
 1155 Liaocheng Place                   | Oyo & Osun           | Effon-Alaiye               | Nigeria
 1993 Tabuk Lane                        | Tamil Nadu           | Tambaram                   | India
 86 Higashiosaka Lane                   | Guanajuato           | Valle de Santiago          | Mexico
 1912 Allende Manor                     | Kowloon and New Kowl | Kowloon and New Kowloon    | Hong Kong
 544 Tarsus Boulevard                   | Gurico               | Valle de la Pascua         | Venezuela
 1936 Cuman Avenue                      | Virginia             | Roanoke                    | Murica
 1192 Tongliao Street                   | Sharja               | Sharja                     | United Arab Emirates
 44 Najafabad Way                       | Baskimaa             | Donostia-San Sebastin      | Spain
 32 Pudukkottai Lane                    | Ohio                 | Dayton                     | Murica
 661 Chisinau Lane                      | Pietari              | Kolpino                    | Russian Federation
 951 Stara Zagora Manor                 | Punjab               | Patiala                    | India
 922 Vila Velha Loop                    | Maharashtra          | Ahmadnagar                 | India
 898 Jining Lane                        | Pohjois-Pohjanmaa    | Oulu                       | Finland
 1635 Kuwana Boulevard                  | Hiroshima            | Hiroshima                  | Japan
 41 El Alto Parkway                     | Maharashtra          | Parbhani                   | India
 1883 Maikop Lane                       | Kaliningrad          | Kaliningrad                | Russian Federation
 1908 Gaziantep Place                   | Liaoning             | Tiefa                      | China
 687 Alessandria Parkway                | Sanaa                | Sanaa                      | Yemen
 827 Yuncheng Drive                     | Callao               | Callao                     | Peru
 913 Coacalco de Berriozbal Loop        | Texas                | Arlington                  | Murica
 715 So Bernardo do Campo Lane          | Kedah                | Sungai Petani              | Malaysia
 1354 Siegen Street                     | Rio de Janeiro       | Angra dos Reis             | Brazil
 1191 Sungai Petani Boulevard           | Missouri             | Kansas City                | Murica
 1224 Huejutla de Reyes Boulevard       | Lombardia            | Brescia                    | Italy
 543 Bergamo Avenue                     | Minas Gerais         | Ibirit                     | Brazil
 746 Joliet Lane                        | Kursk                | Kursk                      | Russian Federation
 780 Kimberley Way                      | Tabuk                | Tabuk                      | Saudi Arabia
 1774 Yaound Place                      | Hubei                | Ezhou                      | China
 1957 Yantai Lane                       | So Paulo             | Sorocaba                   | Brazil
 1542 Lubumbashi Boulevard              | Tel Aviv             | Bat Yam                    | Israel
 651 Pathankot Loop                     | Maharashtra          | Miraj                      | India
 1359 Zhoushan Parkway                  | Streymoyar           | Trshavn                    | Faroe Islands
 1769 Iwaki Lane                        | Kujawsko-Pomorskie   | Bydgoszcz                  | Poland
 1145 Vilnius Manor                     | Mxico                | San Felipe del Progreso    | Mexico
 1892 Nabereznyje Telny Lane            | Tutuila              | Tafuna                     | American Samoa
 470 Boksburg Street                    | Central              | Birgunj                    | Nepal
 1427 A Corua (La Corua) Place          | Buenos Aires         | Baha Blanca                | Argentina
 479 San Felipe del Progreso Avenue     | Morelos              | Cuautla                    | Mexico
 867 Benin City Avenue                  | Henan                | Yuzhou                     | China
 981 Kumbakonam Place                   | Distrito Federal     | Braslia                    | Brazil
 1016 Iwakuni Street                    | St George            | Kingstown                  | Saint Vincent and the Grenadines
 663 Baha Blanca Parkway                | Adana                | Adana                      | Turkey
 1860 Taguig Loop                       | West Java            | Ciparay                    | Indonesia
 1816 Bydgoszcz Loop                    | Dhaka                | Jamalpur                   | Bangladesh
 587 Benguela Manor                     | Illinois             | Aurora                     | Murica
 430 Kumbakonam Drive                   | Santa F              | Santa F                    | Argentina
 1838 Tabriz Lane                       | Dhaka                | Dhaka                      | Bangladesh
 431 Szkesfehrvr Avenue                 | Baki                 | Baku                       | Azerbaijan
 503 Sogamoso Loop                      | Sumqayit             | Sumqayit                   | Azerbaijan
 507 Smolensk Loop                      | Sousse               | Sousse                     | Tunisia
 1920 Weifang Avenue                    | Uttar Pradesh        | Rampur                     | India
 124 al-Manama Way                      | Hiroshima            | Onomichi                   | Japan
 1443 Mardan Street                     | Western Cape         | Paarl                      | South Africa
 1909 Benguela Lane                     | Henan                | Xinxiang                   | China
 68 Ponce Parkway                       | Hanoi                | Hanoi                      | Vietnam
 1217 Konotop Avenue                    | Gelderland           | Ede                        | Netherlands
 1293 Nam Dinh Way                      | Roraima              | Boa Vista                  | Brazil
 785 Vaduz Street                       | Baja California      | Mexicali                   | Mexico
 1516 Escobar Drive                     | Tongatapu            | Nukualofa                  | Tonga
 1628 Nagareyama Lane                   | Central              | San Lorenzo                | Paraguay
 1157 Nyeri Loop                        | Adygea               | Maikop                     | Russian Federation
 1673 Tangail Drive                     | Daugavpils           | Daugavpils                 | Latvia
 381 Kabul Way                          | Taipei               | Hsichuh                    | Taiwan
 953 Hodeida Street                     | Southern Tagalog     | Imus                       | Philippines
 469 Nakhon Sawan Street                | Tuvassia             | Teboksary                  | Russian Federation
 1378 Beira Loop                        | Krasnojarsk          | Zeleznogorsk               | Russian Federation
 1641 Changhwa Place                    | Nord-Ouest           | Bamenda                    | Cameroon
 1698 Southport Loop                    | Hidalgo              | Pachuca de Soto            | Mexico
 519 Nyeri Manor                        | So Paulo             | Santo Andr                 | Brazil
 619 Hunuco Avenue                      | Shimane              | Matsue                     | Japan
 45 Aparecida de Goinia Place           | Madhya Pradesh       | Satna                      | India
 482 Kowloon and New Kowloon Manor      | Bratislava           | Bratislava                 | Slovakia
 604 Bern Place                         | Jharkhand            | Ranchi                     | India
 1623 Kingstown Drive                   | Buenos Aires         | Almirante Brown            | Argentina
 1009 Zanzibar Lane                     | Arecibo              | Arecibo                    | Puerto Rico
 114 Jalib al-Shuyukh Manor             | Centre               | Yaound                     | Cameroon
 1163 London Parkway                    | Par                  | Belm                       | Brazil
 1658 Jastrzebie-Zdrj Loop              | Central              | Nyeri                      | Kenya
 817 Laredo Avenue                      | Jalisco              | Guadalajara                | Mexico
 1565 Tangail Manor                     | Okinawa              | Okinawa                    | Japan
 1912 Emeishan Drive                    | Balikesir            | Balikesir                  | Turkey
 230 Urawa Drive                        | Andhra Pradesh       | Adoni                      | India
 1922 Miraj Way                         | Esfahan              | Najafabad                  | Iran
 433 Florencia Street                   | Chihuahua            | Jurez                      | Mexico
 1049 Matamoros Parkway                 | Karnataka            | Gulbarga                   | India
 1061 Ede Avenue                        | Southern Tagalog     | Cabuyao                    | Philippines
 154 Oshawa Manor                       | East Java            | Probolinggo                | Indonesia
 1191 Tandil Drive                      | Southern Tagalog     | Tanauan                    | Philippines
 1133 Rizhao Avenue                     | Pernambuco           | Vitria de Santo Anto       | Brazil
 1519 Santiago de los Caballeros Loop   | East Kasai           | Mwene-Ditu                 | Congo, The Democratic Republic of the
 1618 Olomouc Manor                     | Kurgan               | Kurgan                     | Russian Federation
 220 Hidalgo Drive                      | Kermanshah           | Kermanshah                 | Iran
 686 Donostia-San Sebastin Lane         | Guangdong            | Shenzhen                   | China
 97 Mogiljov Lane                       | Gujarat              | Bhavnagar                  | India
 1642 Charlotte Amalie Drive            | Slaskie              | Tychy                      | Poland
 1368 Maracabo Boulevard                |                      | South Hill                 | Anguilla
 401 Sucre Boulevard                    | New Hampshire        | Manchester                 | Murica
 368 Hunuco Boulevard                   | Namibe               | Namibe                     | Angola
 500 Lincoln Parkway                    | Jiangsu              | Huaian                     | China
 102 Chapra Drive                       | Ibaragi              | Tama                       | Japan
 1793 Meixian Place                     | Hmelnytskyi          | Kamjanets-Podilskyi        | Ukraine
 514 Ife Way                            | Shaba                | Lubumbashi                 | Congo, The Democratic Republic of the
 717 Changzhou Lane                     | Southern Tagalog     | Cavite                     | Philippines
 753 Ilorin Avenue                      | Sichuan              | Emeishan                   | China
