  firstName  |   lastName   | totalPaid 
 Lori        | Wood         |    141.69
 Sara        | Perry        |    141.67
 Jessie      | Milam        |    141.67
 Casey       | Mena         |    141.66
 Elsie       | Kelley       |    141.63
 Ramon       | Choate       |    140.69
 Glenda      | Frazier      |    140.68
 Angela      | Hernandez    |    140.64
 Alvin       | Deloach      |    139.71
 Jamie       | Rice         |    139.71
 Roberto     | Vu           |    139.70
 Stanley     | Scroggins    |    139.70
 Grace       | Ellis        |    139.67
 Morris      | Mccarter     |    139.66
 Maurice     | Crawley      |    138.71
 Joe         | Gilliland    |    138.71
 Charles     | Kowalski     |    138.68
 Alice       | Stewart      |    138.67
 Brett       | Cornwell     |    138.66
 Marilyn     | Ross         |    137.70
 Ella        | Oliver       |    137.69
 John        | Farnsworth   |    137.69
 Crystal     | Ford         |    137.67
 Gertrude    | Castillo     |    137.66
 Jeanne      | Lawson       |    136.73
 Russell     | Brinson      |    136.64
 Miriam      | Mckinney     |    135.74
 Linda       | Williams     |    135.74
 Jimmie      | Eggleston    |    135.72
 Miguel      | Betancourt   |    135.71
 Gloria      | Cook         |    135.70
 Raymond     | Mcwhorter    |    135.70
 Dianne      | Shelton      |    135.69
 Ethel       | Webb         |    135.68
 Javier      | Elrod        |    135.68
 Regina      | Berry        |    135.66
 Kent        | Arsenault    |    134.73
 Joseph      | Joy          |    134.70
 Mitchell    | Westmoreland |    134.68
 Helen       | Harris       |    134.68
 Dave        | Gardiner     |    134.68
 Julia       | Flores       |    134.68
 Barry       | Lovelace     |    134.67
 Jorge       | Olivares     |    134.66
 Don         | Bone         |    133.75
 Cheryl      | Murphy       |    133.73
 Tina        | Simmons      |    133.72
 Nathaniel   | Adam         |    133.72
 Jennie      | Terry        |    133.71
 Dana        | Hart         |    133.71
 Rosa        | Reynolds     |    133.70
 Bessie      | Morrison     |    132.72
 Steven      | Curley       |    132.71
 Ronald      | Weiner       |    132.70
 Tracy       | Cole         |    132.70
 Jordan      | Archuleta    |    132.70
 Courtney    | Day          |    132.68
 Karen       | Jackson      |    131.73
 James       | Gannon       |    131.70
 George      | Linton       |    131.67
 Kathryn     | Coleman      |    130.74
 Eduardo     | Hiatt        |    130.73
 Joyce       | Edwards      |    130.72
 Michele     | Grant        |    130.70
 Debbie      | Reyes        |    130.68
 Harold      | Martino      |    130.68
 Gilbert     | Sledge       |    129.72
 Tracy       | Herrmann     |    129.72
 Cassandra   | Walters      |    129.70
 Kathy       | James        |    129.70
 Salvador    | Teel         |    129.70
 Ramona      | Hale         |    129.70
 Viola       | Hanson       |    129.68
 Virginia    | Green        |    129.68
 Justin      | Ngo          |    129.64
 Eddie       | Tomlin       |    128.73
 Patricia    | Johnson      |    128.73
 Jason       | Morrissey    |    128.72
 Teresa      | Rogers       |    128.71
 Monica      | Hicks        |    128.70
 Sherri      | Rhodes       |    128.67
 Jim         | Rea          |    128.67
 Milton      | Howland      |    127.75
 Janet       | Phillips     |    127.73
 Amy         | Lopez        |    127.71
 Terry       | Carlson      |    127.71
 Michael     | Silverman    |    127.71
 Walter      | Perryman     |    127.70
 Frank       | Waggoner     |    127.68
 Marjorie    | Tucker       |    127.68
 Martha      | Gonzalez     |    127.66
 Joanne      | Robertson    |    127.66
 Terri       | Vasquez      |    126.73
 Bradley     | Motley       |    126.73
 Andre       | Rapp         |    126.72
 Sonia       | Gregory      |    126.72
 Jaime       | Nettles      |    126.71
 Isaac       | Oglesby      |    126.71
 Florence    | Woods        |    126.70
 Shirley     | Allen        |    126.69
 Veronica    | Stone        |    126.68
 Thelma      | Murray       |    126.68
 Ruth        | Martinez     |    125.76
 Alan        | Kahn         |    124.74
 Rick        | Mattox       |    124.73
 Bryan       | Hardison     |    124.72
 Craig       | Morrell      |    124.70
 Joy         | George       |    124.67
 Carrie      | Porter       |    124.66
 Lynn        | Payne        |    123.72
 Nina        | Soto         |    123.71
 Marc        | Outlaw       |    123.70
 Melissa     | King         |    123.66
 Ben         | Easter       |    122.74
 Eric        | Robert       |    122.73
 Brandy      | Graves       |    122.72
 Cathy       | Spencer      |    122.71
 Hilda       | Hopkins      |    122.71
 Christy     | Vargas       |    122.69
 Nathan      | Runyon       |    122.68
 Heidi       | Larson       |    122.66
 Johnnie     | Chisholm     |    121.76
 Valerie     | Black        |    121.74
 Gerald      | Fultz        |    121.70
 Jeffery     | Pinson       |    121.69
 Philip      | Causey       |    121.69
 Paul        | Trout        |    120.77
 Dawn        | Sullivan     |    120.74
 Arlene      | Harvey       |    120.74
 Charlie     | Bess         |    120.74
 Alfred      | Casillas     |    120.74
 Byron       | Box          |    120.71
 Sandra      | Martin       |    120.71
 Vickie      | Brewer       |    120.69
 Beatrice    | Arnold       |    119.74
 Hector      | Poindexter   |    119.74
 Lee         | Hawks        |    119.73
 Patsy       | Davidson     |    119.72
 Audrey      | Ray          |    119.71
 Sarah       | Lewis        |    119.70
 Joshua      | Mark         |    119.70
 Patrick     | Newsom       |    119.69
 Sally       | Pierce       |    119.68
 Jamie       | Waugh        |    118.75
 Stephanie   | Mitchell     |    118.75
 Misty       | Lambert      |    118.73
 Tracey      | Barrett      |    118.73
 Stephen     | Qualls       |    118.72
 Nora        | Herrera      |    118.72
 Clifton     | Malcolm      |    118.72
 Erik        | Guillen      |    118.71
 Mary        | Smith        |    118.68
 Leroy       | Bustamante   |    118.68
 Marshall    | Thorn        |    117.77
 Perry       | Swafford     |    117.76
 Sam         | Mcduffie     |    117.76
 Fernando    | Churchill    |    117.75
 Marlene     | Welch        |    117.74
 Velma       | Lucas        |    117.73
 Betty       | White        |    117.72
 Ellen       | Simpson      |    117.72
 Ted         | Breaux       |    117.71
 Todd        | Tan          |    117.71
 Carolyn     | Perez        |    117.70
 Terrence    | Gunderson    |    117.70
 Kevin       | Schuler      |    116.78
 Edwin       | Burk         |    116.77
 Manuel      | Murrell      |    116.70
 Theodore    | Culp         |    116.69
 Kristin     | Johnston     |    116.69
 Maxine      | Silva        |    116.68
 Cecil       | Vines        |    115.74
 David       | Royal        |    115.74
 Jean        | Bell         |    115.73
 Reginald    | Kinder       |    115.72
 Deborah     | Walker       |    115.71
 Herman      | Devore       |    115.71
 Clyde       | Tobias       |    115.71
 Becky       | Miles        |    115.71
 Marion      | Ocampo       |    115.71
 Heather     | Morris       |    115.70
 Marcus      | Hidalgo      |    115.70
 Sharon      | Robinson     |    115.70
 Angel       | Barclay      |    115.68
 Jesus       | Mccartney    |    114.76
 Douglas     | Graf         |    114.75
 Dolores     | Wagner       |    114.74
 Marie       | Turner       |    114.74
 Charlene    | Alvarez      |    114.73
 Dennis      | Gilman       |    114.72
 Evelyn      | Morgan       |    114.72
 Edward      | Baugh        |    114.72
 Bill        | Gavin        |    114.72
 Matthew     | Mahan        |    114.69
 Holly       | Fox          |    114.69
 Laura       | Rodriguez    |    113.78
 Andy        | Vanhorn      |    113.75
 Shelly      | Watts        |    113.74
 Rene        | Mcalister    |    113.74
 Glen        | Talbert      |    113.74
 Amber       | Dixon        |    113.73
 Clifford    | Bowens       |    113.71
 Cindy       | Fisher       |    113.71
 Lois        | Butler       |    113.65
 Brent       | Harkins      |    112.77
 Tyrone      | Asher        |    112.76
 Ashley      | Richardson   |    112.75
 Seth        | Hannon       |    112.75
 Larry       | Thrasher     |    112.74
 Dale        | Ratcliff     |    112.73
 Mario       | Cheatham     |    112.72
 Mabel       | Holland      |    112.70
 Geraldine   | Perkins      |    112.70
 Calvin      | Martel       |    111.77
 Claude      | Herzog       |    111.75
 Gabriel     | Harder       |    111.74
 Claudia     | Fuller       |    111.74
 Victoria    | Gibson       |    111.73
 Daryl       | Larue        |    111.73
 Earl        | Shanks       |    111.73
 Gina        | Williamson   |    111.72
 Terrance    | Roush        |    111.71
 Cynthia     | Young        |    111.68
 Aaron       | Selby        |    110.76
 Myrtle      | Fleming      |    110.76
 Travis      | Estep        |    110.75
 Georgia     | Jacobs       |    110.74
 Yolanda     | Weaver       |    110.73
 Amanda      | Carter       |    110.73
 Everett     | Banda        |    110.72
 Randy       | Gaither      |    110.72
 Ruby        | Washington   |    110.72
 Ken         | Prewitt      |    110.71
 Juanita     | Mason        |    110.70
 Kyle        | Spurlock     |    110.70
 Hazel       | Warren       |    110.66
 Dan         | Paine        |    109.78
 Gail        | Knight       |    109.75
 Wallace     | Slone        |    109.75
 Katie       | Elliott      |    109.75
 Richard     | Mccrary      |    109.75
 Leon        | Bostic       |    109.75
 Josephine   | Gomez        |    109.74
 Dean        | Sauer        |    109.73
 Andrew      | Purdy        |    109.73
 Kristina    | Chambers     |    109.72
 Julian      | Vest         |    109.72
 Leonard     | Schofield    |    109.68
 Frances     | Parker       |    108.78
 Darren      | Windham      |    108.76
 Vicki       | Fields       |    108.75
 Sidney      | Burleson     |    108.75
 Sergio      | Stanfield    |    108.74
 Lucille     | Holmes       |    108.72
 Carole      | Barnett      |    108.70
 Dora        | Medina       |    107.77
 Marian      | Mendoza      |    107.77
 Max         | Pitt         |    107.76
 Elaine      | Stevens      |    107.76
 Edna        | West         |    107.74
 Kelly       | Knott        |    107.74
 Deanna      | Byrd         |    107.74
 Virgil      | Wofford      |    107.73
 Julie       | Sanchez      |    107.71
 Jeff        | East         |    107.70
 Tom         | Milner       |    107.68
 Peter       | Menard       |    106.77
 Carl        | Artis        |    106.77
 Carlos      | Coughlin     |    106.77
 Lisa        | Anderson     |    106.76
 Lillian     | Griffin      |    106.75
 Erin        | Dunn         |    106.73
 Bobby       | Boudreau     |    106.65
 Frederick   | Isbell       |    105.79
 Danielle    | Daniels      |    105.75
 Vincent     | Ralston      |    105.75
 Brad        | Mccurdy      |    105.75
 Thomas      | Grigsby      |    105.75
 Diana       | Alexander    |    105.73
 Jimmy       | Schrader     |    105.71
 Stella      | Moreno       |    104.78
 Leo         | Ebert        |    104.77
 Rodney      | Moeller      |    104.77
 Leah        | Curtis       |    104.75
 Mark        | Rinehart     |    104.74
 Francis     | Sikes        |    104.74
 Brenda      | Wright       |    104.74
 Clarence    | Gamez        |    104.70
 Rose        | Howard       |    103.78
 Bruce       | Schwarz      |    103.77
 Ron         | Deluca       |    103.77
 Pedro       | Chestnut     |    103.76
 Beth        | Franklin     |    103.75
 Clinton     | Buford       |    103.75
 Gary        | Coy          |    103.75
 Carla       | Gutierrez    |    103.74
 Martin      | Bales        |    103.73
 Jenny       | Castro       |    103.73
 Denise      | Kelly        |    103.73
 Nancy       | Thomas       |    103.72
 Jeremy      | Hurtado      |    103.72
 Robin       | Hayes        |    102.76
 Micheal     | Forman       |    102.74
 Dwayne      | Olvera       |    101.78
 Corey       | Hauser       |    101.78
 Adam        | Gooch        |    101.78
 Willie      | Markham      |    101.75
 Louise      | Jenkins      |    101.75
 Bertha      | Ferguson     |    101.75
 Phillip     | Holm         |    101.74
 Erika       | Pena         |    101.74
 Willie      | Howell       |    101.74
 Jesse       | Schilling    |    101.74
 Raul        | Fortier      |    100.80
 Doris       | Reed         |    100.78
 Connie      | Wallace      |    100.77
 Shannon     | Freeman      |    100.76
 Ronnie      | Ricketts     |    100.75
 William     | Satterfield  |    100.74
 Dustin      | Gillette     |    100.74
 Jane        | Bennett      |    100.72
 Lawrence    | Lawton       |    100.69
 Judith      | Cox          |    100.67
 Oscar       | Aquino       |     99.80
 Ricardo     | Meador       |     99.79
 Kelly       | Torres       |     99.78
 Randall     | Neumann      |     99.77
 Laurie      | Lawrence     |     99.77
 Albert      | Crouse       |     99.77
 Kurt        | Emmons       |     99.77
 Chester     | Benner       |     99.76
 Christine   | Roberts      |     99.76
 Freddie     | Duggan       |     99.75
 Dorothy     | Taylor       |     99.75
 Ivan        | Cromwell     |     99.74
 Ross        | Grey         |     99.73
 Theresa     | Watson       |     99.70
 Kay         | Caldwell     |     98.80
 Donna       | Thompson     |     98.79
 Francisco   | Skidmore     |     98.78
 Cody        | Nolen        |     98.78
 Stacy       | Cunningham   |     98.77
 Agnes       | Bishop       |     98.77
 Annette     | Olson        |     98.76
 Gwendolyn   | May          |     98.75
 Mildred     | Bailey       |     98.75
 Elmer       | Noe          |     98.74
 Pauline     | Henry        |     98.73
 Daniel      | Cabral       |     97.80
 Rafael      | Abney        |     97.79
 Beverly     | Brooks       |     97.76
 Carmen      | Owens        |     97.74
 Renee       | Lane         |     97.74
 Melvin      | Ellington    |     97.74
 Gene        | Sanborn      |     97.73
 Derek       | Blakely      |     97.72
 Willard     | Lumpkin      |     96.78
 Peggy       | Myers        |     96.76
 Judy        | Gray         |     96.75
 Jose        | Andrew       |     96.75
 Clayton     | Barbee       |     96.74
 Ian         | Still        |     96.73
 Enrique     | Forsythe     |     96.72
 Shane       | Millard      |     95.78
 Derrick     | Bourque      |     95.78
 Erica       | Matthews     |     95.78
 Benjamin    | Varney       |     95.77
 Natalie     | Meyer        |     95.77
 Toni        | Holt         |     95.77
 Pamela      | Baker        |     95.77
 Joel        | Francisco    |     95.77
 Kimberly    | Lee          |     95.75
 Edgar       | Rhoads       |     95.75
 Constance   | Reid         |     95.75
 Esther      | Crawford     |     95.72
 Lonnie      | Tirado       |     94.82
 Nellie      | Garrett      |     94.79
 Nicole      | Peterson     |     94.78
 Emma        | Boyd         |     94.77
 Suzanne     | Nichols      |     94.76
 Scott       | Shelley      |     94.75
 April       | Burns        |     94.74
 Harvey      | Guajardo     |     93.78
 Andrea      | Henderson    |     93.78
 Loretta     | Carpenter    |     93.78
 Glenn       | Pullen       |     93.77
 Charlotte   | Hunter       |     93.76
 Jackie      | Lynch        |     93.75
 Tamara      | Nguyen       |     93.75
 Howard      | Fortner      |     93.74
 Jennifer    | Davis        |     93.72
 Yvonne      | Watkins      |     92.79
 Robert      | Baughman     |     92.79
 Susan       | Wilson       |     92.76
 Rita        | Graham       |     92.76
 Melanie     | Armstrong    |     92.75
 Megan       | Palmer       |     92.73
 Kathleen    | Adams        |     92.73
 Allison     | Stanley      |     92.73
 Wilma       | Richards     |     91.80
 Anna        | Hill         |     91.79
 Delores     | Hansen       |     91.79
 Danny       | Isom         |     91.79
 Carol       | Garcia       |     91.78
 Timothy     | Bunn         |     91.78
 Sean        | Douglass     |     91.77
 Phyllis     | Foster       |     91.77
 Bob         | Pfeiffer     |     91.76
 Victor      | Barkley      |     91.76
 Emily       | Diaz         |     91.76
 Ricky       | Shelby       |     91.75
 Darrell     | Power        |     91.75
 Lucy        | Wheeler      |     91.74
 Jessie      | Banks        |     91.74
 Wendy       | Harrison     |     91.70
 Hugh        | Waldrop      |     90.79
 Mathew      | Bolin        |     90.78
 Vivian      | Ruiz         |     90.77
 Jeffrey     | Spear        |     90.77
 Julio       | Noland       |     89.79
 Ruben       | Geary        |     89.79
 Leslie      | Gordon       |     89.78
 Lillie      | Kim          |     89.77
 Margaret    | Moore        |     89.77
 Donald      | Mahon        |     89.77
 Jack        | Foust        |     89.76
 Rebecca     | Scott        |     89.76
 Ernest      | Stepp        |     89.75
 Chad        | Carbone      |     89.75
 Jay         | Robb         |     89.74
 Keith       | Rico         |     89.74
 Vernon      | Chapa        |     88.82
 Tara        | Ryan         |     88.80
 Tyler       | Wren         |     88.79
 Bernard     | Colby        |     88.78
 Christian   | Jung         |     88.76
 Fred        | Wheat        |     88.75
 Billie      | Horton       |     88.74
 Kristen     | Chavez       |     87.82
 Jared       | Ely          |     87.81
 Maureen     | Little       |     87.79
 Bonnie      | Hughes       |     87.79
 Anne        | Powell       |     87.77
 Colleen     | Burton       |     87.76
 Jon         | Wiles        |     87.76
 Lewis       | Lyman        |     86.81
 Vanessa     | Sims         |     86.81
 Lorraine    | Stephens     |     86.79
 Felicia     | Sutton       |     86.72
 Alfredo     | Mcadams      |     85.80
 Allen       | Butterfield  |     85.79
 Kenneth     | Gooden       |     84.83
 Chris       | Brothers     |     84.78
 Rachel      | Barnes       |     84.78
 Roberta     | Harper       |     84.77
 Joan        | Cooper       |     84.77
 Eva         | Ramos        |     83.82
 Austin      | Cintron      |     83.81
 Armando     | Gruber       |     83.79
 Alicia      | Mills        |     83.79
 Wade        | Delvalle     |     83.78
 Kim         | Cruz         |     82.79
 Lance       | Pemberton    |     82.78
 Lydia       | Burke        |     82.76
 Barbara     | Jones        |     81.78
 Cory        | Meehan       |     81.76
 Melinda     | Fernandez    |     80.83
 Eileen      | Carr         |     80.82
 Christina   | Ramirez      |     80.82
 Samuel      | Marlow       |     80.79
 Roland      | South        |     80.77
 Bobbie      | Craig        |     80.76
 Norman      | Currier      |     80.74
 Allan       | Cornish      |     79.81
 Luis        | Yanez        |     79.80
 Jacob       | Lance        |     79.79
 Norma       | Gonzales     |     79.79
 Ray         | Houle        |     79.78
 Antonio     | Meek         |     78.84
 Herbert     | Kruger       |     78.80
 Gregory     | Mauldin      |     78.77
 Paula       | Bryant       |     77.82
 Nelson      | Christenson  |     77.80
 Irene       | Price        |     77.77
 Ann         | Evans        |     76.83
 Pearl       | Garza        |     76.78
 Darryl      | Ashcraft     |     76.77
 Ida         | Andrews      |     76.77
 Marvin      | Yee          |     75.79
 Dwight      | Lombardi     |     74.83
 Adrian      | Clary        |     74.81
 Jeanette    | Greene       |     74.80
 Tony        | Carranza     |     74.78
 Franklin    | Troutman     |     74.78
 Jerome      | Kenyon       |     73.84
 Henry       | Billingsley  |     73.82
 Sheila      | Wells        |     73.82
 Jo          | Fowler       |     73.80
 Juan        | Fraley       |     73.77
 Felix       | Gaffney      |     73.76
 Jonathan    | Scarborough  |     72.82
 Terry       | Grissom      |     72.80
 Eugene      | Culpepper    |     71.81
 Edith       | Mcdonald     |     71.81
 Anthony     | Schwab       |     71.80
 Lauren      | Hudson       |     71.80
 Samantha    | Duncan       |     71.77
 Irma        | Pearson      |     70.82
 Wayne       | Truong       |     70.81
 Floyd       | Gandy        |     69.83
 Penny       | Neal         |     68.82
 Jill        | Hawkins      |     68.79
 Vera        | Mccoy        |     67.82
 Joann       | Gardner      |     66.84
 Lloyd       | Dowd         |     66.81
 Alberto     | Henning      |     66.79
 Lester      | Kraus        |     65.84
 Kirk        | Stclair      |     64.81
 Mattie      | Hoffman      |     64.78
 Anita       | Morales      |     62.85
 Tiffany     | Jordan       |     59.86
 Katherine   | Rivera       |     58.86
 Annie       | Russell      |     58.82
 Johnny      | Turpin       |     57.81
 Brian       | Wyman        |     52.88
 Leona       | Obrien       |     50.86
 Caroline    | Bowman       |     50.85
(598 rows)

